institute,date,month,year,SIS,SPD,GRÜNE,FDP,LINKE,AfD,Sonstige,state,method
Infratestdimap,2022-04-21,4,2022,26.0,15.0,28.0,11.0,3.0,9.0,8.0,baden-wuerttemberg,TOM
INSA,2022-04-06,4,2022,23.0,19.0,25.0,11.0,3.0,10.0,9.0,baden-wuerttemberg,O
Infratestdimap,2022-03-10,3,2022,24.0,18.0,27.0,13.0,3.0,9.0,6.0,baden-wuerttemberg,TOM
Infratestdimap,2022-01-20,1,2022,23.0,16.0,26.0,12.0,4.0,11.0,8.0,baden-wuerttemberg,TOM
INSA,2021-10-12,10,2021,20.0,21.0,24.0,16.0,3.0,9.0,7.0,baden-wuerttemberg,O
INSA,2021-03-12,3,2021,23.0,11.0,32.0,11.0,4.0,13.0,6.0,baden-wuerttemberg,TOM
FCW,2021-03-11,3,2021,24.0,10.0,34.0,11.0,3.0,11.0,7.0,baden-wuerttemberg,T
FCW,2021-03-05,3,2021,24.0,10.0,35.0,10.0,3.0,11.0,7.0,baden-wuerttemberg,T
Infratestdimap,2021-03-04,3,2021,25.0,10.0,33.0,10.0,4.0,12.0,6.0,baden-wuerttemberg,TOM
FCW,2021-02-05,2,2021,28.0,10.0,34.0,9.0,3.0,11.0,5.0,baden-wuerttemberg,T
Infratestdimap,2021-02-04,2,2021,27.0,11.0,34.0,9.0,3.0,10.0,6.0,baden-wuerttemberg,T
INSA,2021-01-13,1,2021,30.0,12.0,30.0,8.0,4.0,12.0,4.0,baden-wuerttemberg,O
Infratestdimap,2020-12-17,12,2020,30.0,10.0,35.0,7.0,3.0,11.0,4.0,baden-wuerttemberg,T
INSA,2020-11-19,11,2020,31.0,11.0,29.0,7.0,5.0,12.0,5.0,baden-wuerttemberg,O
Infratestdimap,2020-10-15,10,2020,29.0,11.0,34.0,6.0,4.0,11.0,5.0,baden-wuerttemberg,T
INSA,2020-09-10,9,2020,31.0,12.0,28.0,7.0,5.0,12.0,5.0,baden-wuerttemberg,O
Infratestdimap,2020-04-30,4,2020,30.0,11.0,34.0,6.0,3.0,12.0,4.0,baden-wuerttemberg,T
INSA,2020-04-22,4,2020,31.0,13.0,29.0,7.0,4.0,11.0,5.0,baden-wuerttemberg,TOM
Infratestdimap,2020-03-12,3,2020,23.0,11.0,36.0,7.0,5.0,14.0,4.0,baden-wuerttemberg,T
INSA,2019-10-30,10,2019,27.0,11.0,30.0,9.0,4.0,13.0,6.0,baden-wuerttemberg,O
Infratestdimap,2019-09-19,9,2019,26.0,8.0,38.0,8.0,3.0,12.0,5.0,baden-wuerttemberg,T
Infratestdimap,2019-03-28,3,2019,28.0,12.0,32.0,9.0,4.0,11.0,4.0,baden-wuerttemberg,T
INSA,2019-02-15,2,2019,27.0,13.0,29.0,9.0,5.0,12.0,5.0,baden-wuerttemberg,TOM
Forsa,2019-02-04,2,2019,23.0,9.0,33.0,9.0,6.0,13.0,7.0,baden-wuerttemberg,T
Infratestdimap,2018-09-12,9,2018,28.0,11.0,29.0,7.0,7.0,15.0,3.0,baden-wuerttemberg,T
INSA,2018-09-12,9,2018,25.0,12.0,27.0,9.0,5.0,18.0,4.0,baden-wuerttemberg,TOM
Forsa,2018-02-25,2,2018,27.0,12.0,32.0,9.0,4.0,12.0,4.0,baden-wuerttemberg,T
Infratestdimap,2018-01-31,1,2018,29.0,12.0,29.0,8.0,6.0,12.0,4.0,baden-wuerttemberg,T
Infratestdimap,2017-03-09,3,2017,28.0,20.0,27.0,7.0,4.0,11.0,3.0,baden-wuerttemberg,T
Infratestdimap,2016-09-15,9,2016,26.0,13.0,31.0,7.0,3.0,17.0,3.0,baden-wuerttemberg,T
FCW,2016-03-10,3,2016,29.0,14.0,32.0,6.0,4.0,11.0,4.0,baden-wuerttemberg,T
YouGov,2016-03-10,3,2016,30.0,12.0,32.0,8.0,4.0,11.0,3.0,baden-wuerttemberg,O
Forsa,2016-03-09,3,2016,27.0,16.0,32.0,7.0,3.0,11.0,4.0,baden-wuerttemberg,T
INSA,2016-03-07,3,2016,28.5,12.5,33.5,6.0,3.0,12.5,4.0,baden-wuerttemberg,T
FCW,2016-03-04,3,2016,30.0,13.0,32.0,7.0,4.0,11.0,3.0,baden-wuerttemberg,T
Infratestdimap,2016-03-03,3,2016,28.0,13.0,32.0,8.0,4.0,13.0,2.0,baden-wuerttemberg,T
INSA,2016-02-28,2,2016,30.0,16.5,30.5,6.5,3.5,9.0,4.0,baden-wuerttemberg,T
Forsa,2016-02-26,2,2016,30.0,16.0,30.0,6.0,3.0,11.0,4.0,baden-wuerttemberg,T
INSA,2016-02-22,2,2016,30.0,16.0,30.5,7.0,3.0,10.0,3.5,baden-wuerttemberg,T
Infratestdimap,2016-02-18,2,2016,31.0,14.0,28.0,8.0,4.0,12.0,3.0,baden-wuerttemberg,T
INSA,2016-02-05,2,2016,33.5,13.5,28.5,7.0,3.5,10.0,4.0,baden-wuerttemberg,T
FCW,2016-01-21,1,2016,34.0,15.0,28.0,6.0,3.0,11.0,3.0,baden-wuerttemberg,T
INSA,2016-01-20,1,2016,35.0,13.0,29.0,6.5,2.5,11.5,2.5,baden-wuerttemberg,T
Infratestdimap,2016-01-14,1,2016,35.0,15.0,28.0,6.0,3.0,10.0,3.0,baden-wuerttemberg,T
Forsa,2015-12-15,12,2015,35.0,19.0,28.0,5.0,3.0,7.0,3.0,baden-wuerttemberg,T
Infratestdimap,2015-12-03,12,2015,37.0,18.0,25.0,5.0,4.0,8.0,3.0,baden-wuerttemberg,T
FCW,2015-11-20,11,2015,37.0,18.0,27.0,5.0,3.0,6.0,4.0,baden-wuerttemberg,T
INSA,2015-10-09,10,2015,40.0,16.0,24.0,5.0,5.0,8.0,2.0,baden-wuerttemberg,T
Infratestdimap,2015-09-24,9,2015,39.0,17.0,26.0,5.0,4.0,5.0,4.0,baden-wuerttemberg,T
Others,2015-09-11,9,2015,40.5,20.0,24.0,4.5,4.0,3.0,4.0,baden-wuerttemberg,F
Forsa,2015-05-12,5,2015,38.0,20.0,26.0,4.0,4.0,4.0,4.0,baden-wuerttemberg,T
Infratestdimap,2015-03-26,3,2015,38.0,18.0,25.0,5.0,5.0,4.0,5.0,baden-wuerttemberg,T
Infratestdimap,2014-11-13,11,2014,41.0,20.0,22.0,3.0,4.0,5.0,5.0,baden-wuerttemberg,T
Infratestdimap,2014-05-13,5,2014,41.0,20.0,21.0,3.0,4.0,6.0,5.0,baden-wuerttemberg,T
Infratestdimap,2013-11-07,11,2013,43.0,19.0,22.0,4.0,4.0,5.0,3.0,baden-wuerttemberg,T
Infratestdimap,2011-08-18,8,2011,36.0,23.0,29.0,4.0,3.0,0.0,5.0,baden-wuerttemberg,T
Forsa,2011-05-04,5,2011,36.0,22.0,30.0,4.0,2.0,0.0,0.0,baden-wuerttemberg,T
Infratestdimap,2022-01-19,1,2022,36.0,14.0,16.0,7.0,0.0,10.0,9.0,bayern,T
INSA,2021-10-12,10,2021,32.0,20.0,15.0,11.0,2.0,8.0,4.0,bayern,O
INSA,2021-07-21,7,2021,37.0,10.0,21.0,8.0,3.0,8.0,3.0,bayern,O
Forsa,2021-05-19,5,2021,38.0,7.0,22.0,6.0,3.0,9.0,6.0,bayern,T
INSA,2021-04-27,4,2021,36.0,9.0,24.0,7.0,3.0,9.0,3.0,bayern,O
INSA,2021-01-28,1,2021,46.0,9.0,18.0,5.0,3.0,7.0,4.0,bayern,O
Infratestdimap,2021-01-13,1,2021,48.0,7.0,19.0,3.0,3.0,7.0,5.0,bayern,T
Infratestdimap,2020-10-07,10,2020,45.0,8.0,21.0,3.0,3.0,8.0,5.0,bayern,T
INSA,2020-08-11,8,2020,47.0,10.0,18.0,3.0,3.0,7.0,5.0,bayern,O
Infratestdimap,2020-07-22,7,2020,49.0,7.0,20.0,3.0,3.0,7.0,6.0,bayern,T
INSA,2020-05-30,5,2020,46.0,10.0,17.0,4.0,3.0,7.0,5.0,bayern,TOM
Infratestdimap,2020-05-27,5,2020,48.0,9.0,19.0,3.0,3.0,5.0,5.0,bayern,T
Infratestdimap,2020-04-08,4,2020,49.0,10.0,17.0,0.0,3.0,6.0,7.0,bayern,T
Infratestdimap,2020-01-15,1,2020,36.0,7.0,25.0,4.0,3.0,10.0,5.0,bayern,T
INSA,2019-09-25,9,2019,36.0,9.0,22.0,5.0,3.0,11.0,4.0,bayern,TOM
Forsa,2019-01-28,1,2019,38.0,6.0,23.0,5.0,3.0,8.0,5.0,bayern,T
Infratestdimap,2019-01-09,1,2019,35.0,9.0,21.0,6.0,3.0,8.0,5.0,bayern,T
GMS,2019-01-03,1,2019,38.0,9.0,18.0,5.0,4.0,10.0,5.0,bayern,T
FCW,2018-10-11,10,2018,34.0,12.0,19.0,5.5,4.0,10.0,5.5,bayern,T
INSA,2018-10-09,10,2018,33.0,10.0,18.0,5.5,4.5,14.0,4.0,bayern,TOM
FCW,2018-10-05,10,2018,35.0,12.0,18.0,5.5,4.5,10.0,5.0,bayern,T
Infratestdimap,2018-10-04,10,2018,33.0,11.0,18.0,6.0,4.5,10.0,6.5,bayern,T
GMS,2018-09-27,9,2018,35.0,13.0,16.0,5.0,4.0,12.0,5.0,bayern,T
INSA,2018-09-26,9,2018,34.0,11.0,17.0,6.0,4.0,14.0,4.0,bayern,TOM
FCW,2018-09-21,9,2018,35.0,13.0,18.0,5.0,4.0,10.0,4.0,bayern,T
Infratestdimap,2018-09-12,9,2018,35.0,11.0,17.0,5.0,5.0,11.0,5.0,bayern,T
GMS,2018-09-10,9,2018,36.0,12.0,16.0,6.0,4.0,14.0,5.0,bayern,T
INSA,2018-08-28,8,2018,36.0,13.0,15.0,6.0,3.0,14.0,5.0,bayern,TOM
Forsa,2018-08-13,8,2018,37.0,12.0,17.0,5.0,4.0,13.0,4.0,bayern,T
GMS,2018-08-01,8,2018,39.0,12.0,14.0,6.0,3.0,13.0,5.0,bayern,T
Infratestdimap,2018-07-18,7,2018,38.0,13.0,16.0,5.0,4.0,12.0,3.0,bayern,T
GMS,2018-07-12,7,2018,39.0,12.0,14.0,6.0,3.0,14.0,5.0,bayern,T
Forsa,2018-07-09,7,2018,38.0,12.0,15.0,6.0,3.0,14.0,4.0,bayern,T
INSA,2018-06-27,6,2018,41.0,13.0,13.0,5.0,3.0,14.0,5.0,bayern,TOM
Forsa,2018-06-25,6,2018,40.0,13.0,14.0,5.0,3.0,13.0,4.0,bayern,T
GMS,2018-05-17,5,2018,42.0,13.0,12.0,5.0,2.0,13.0,6.0,bayern,T
Infratestdimap,2018-05-02,5,2018,41.0,12.0,14.0,6.0,3.0,12.0,5.0,bayern,T
GMS,2018-04-27,4,2018,44.0,14.0,11.0,5.0,3.0,12.0,5.0,bayern,T
INSA,2018-04-21,4,2018,42.0,13.0,13.0,7.0,3.0,13.0,3.0,bayern,O
GMS,2018-03-22,3,2018,43.0,15.0,11.0,6.0,3.0,12.0,4.0,bayern,T
Forsa,2018-02-25,2,2018,42.0,14.0,14.0,6.0,3.0,10.0,4.0,bayern,T
GMS,2018-02-12,2,2018,40.0,15.0,11.0,6.0,3.0,12.0,7.0,bayern,T
Infratestdimap,2018-01-10,1,2018,40.0,16.0,14.0,5.0,3.0,10.0,5.0,bayern,T
GMS,2018-01-02,1,2018,39.0,15.0,10.0,7.0,3.0,12.0,7.0,bayern,T
INSA,2017-12-13,12,2017,40.0,15.0,12.0,7.0,4.0,12.0,3.0,bayern,TOM
GMS,2017-11-30,11,2017,37.0,15.0,10.0,8.0,3.0,14.0,6.0,bayern,T
Forsa,2017-11-10,11,2017,38.0,17.0,11.0,9.0,4.0,11.0,3.0,bayern,T
INSA,2017-11-05,11,2017,37.0,17.0,10.0,8.0,4.0,13.0,3.0,bayern,TOM
GMS,2017-10-19,10,2017,41.0,15.0,11.0,7.0,3.0,13.0,4.0,bayern,T
Infratestdimap,2017-01-11,1,2017,45.0,14.0,13.0,4.0,3.0,10.0,4.0,bayern,T
GMS,2016-11-03,11,2016,44.0,18.0,10.0,6.0,2.0,9.0,5.0,bayern,T
GMS,2016-10-13,10,2016,45.0,19.0,10.0,5.0,2.0,9.0,4.0,bayern,T
GMS,2016-09-15,9,2016,45.0,18.0,12.0,5.0,2.0,9.0,4.0,bayern,T
Forsa,2016-07-20,7,2016,43.0,16.0,14.0,4.0,3.0,8.0,6.0,bayern,T
Infratestdimap,2016-07-17,7,2016,45.0,17.0,13.0,4.0,0.0,9.0,7.0,bayern,T
GMS,2016-07-14,7,2016,47.0,17.0,11.0,5.0,2.0,7.0,5.0,bayern,T
INSA,2016-06-14,6,2016,47.5,17.5,11.5,3.5,3.5,7.0,5.0,bayern,T
Forsa,2016-06-08,6,2016,40.0,16.0,14.0,4.0,3.0,10.0,7.0,bayern,T
GMS,2016-06-02,6,2016,48.0,17.0,10.0,5.0,2.0,8.0,4.0,bayern,T
GMS,2016-04-21,4,2016,48.0,16.0,10.0,5.0,2.0,9.0,4.0,bayern,T
GMS,2016-03-17,3,2016,48.0,16.0,11.0,5.0,2.0,9.0,4.0,bayern,T
GMS,2016-02-18,2,2016,46.0,17.0,11.0,4.0,2.0,9.0,6.0,bayern,T
Infratestdimap,2016-01-13,1,2016,47.0,16.0,12.0,3.0,3.0,8.0,6.0,bayern,T
GMS,2016-01-04,1,2016,45.0,19.0,10.0,4.0,3.0,7.0,6.0,bayern,T
GMS,2015-11-19,11,2015,46.0,18.0,11.0,4.0,3.0,8.0,5.0,bayern,T
GMS,2015-10-08,10,2015,46.0,18.0,12.0,6.0,0.0,5.0,7.0,bayern,T
Forsa,2015-10-07,10,2015,43.0,19.0,11.0,4.0,3.0,6.0,9.0,bayern,T
GMS,2015-09-17,9,2015,49.0,20.0,10.0,5.0,0.0,2.0,8.0,bayern,T
GMS,2015-07-23,7,2015,47.0,20.0,10.0,5.0,0.0,2.0,10.0,bayern,T
GMS,2015-06-25,6,2015,48.0,19.0,9.0,5.0,2.0,4.0,6.0,bayern,T
INSA,2015-06-19,6,2015,46.0,20.0,8.0,4.0,3.0,4.0,7.0,bayern,O
GMS,2015-05-15,5,2015,48.0,18.0,10.0,4.0,0.0,5.0,8.0,bayern,T
GMS,2015-04-16,4,2015,48.0,19.0,10.0,4.0,2.0,4.0,6.0,bayern,T
Forsa,2015-04-08,4,2015,47.0,19.0,11.0,3.0,2.0,4.0,7.0,bayern,T
Infratestdimap,2015-01-14,1,2015,46.0,19.0,9.0,3.0,3.0,4.0,6.0,bayern,T
GMS,2014-12-03,12,2014,49.0,18.0,9.0,2.0,2.0,5.0,0.0,bayern,T
Others,2014-11-13,11,2014,48.0,18.0,9.0,2.0,2.0,5.0,7.0,bayern,T
Infratestdimap,2014-03-16,3,2014,46.0,18.0,11.0,0.0,0.0,0.0,13.0,bayern,T
Infratestdimap,2014-01-15,1,2014,49.0,19.0,10.0,4.0,2.0,0.0,7.0,bayern,T
Infratestdimap,2022-03-23,3,2022,20.0,20.0,21.0,8.0,12.0,8.0,11.0,berlin,TOM
INSA,2021-12-14,12,2021,19.0,22.0,20.0,7.0,15.0,9.0,8.0,berlin,O
FCW,2021-09-23,9,2021,17.0,22.0,19.0,7.0,13.0,9.0,13.0,berlin,T
FCW,2021-09-17,9,2021,17.0,21.0,20.0,8.0,12.0,9.0,13.0,berlin,T
Infratestdimap,2021-08-25,8,2021,19.0,23.0,17.0,8.0,12.0,11.0,10.0,berlin,TOM
Forsa,2021-08-13,8,2021,17.0,21.0,21.0,7.0,14.0,10.0,10.0,berlin,T
Infratestdimap,2021-06-16,6,2021,21.0,17.0,22.0,9.0,12.0,10.0,9.0,berlin,TOM
Infratestdimap,2021-04-28,4,2021,18.0,17.0,27.0,7.0,14.0,9.0,8.0,berlin,TOM
INSA,2021-04-23,4,2021,16.0,19.0,25.0,10.0,14.0,12.0,4.0,berlin,O
Infratestdimap,2021-02-24,2,2021,22.0,18.0,23.0,6.0,15.0,9.0,7.0,berlin,T
INSA,2020-12-18,12,2020,22.0,18.0,18.0,7.0,16.0,12.0,7.0,berlin,O
INSA,2020-10-12,10,2020,21.0,18.0,20.0,6.0,16.0,12.0,7.0,berlin,O
Infratestdimap,2020-09-23,9,2020,22.0,15.0,26.0,6.0,15.0,10.0,6.0,berlin,T
INSA,2020-07-15,7,2020,21.0,16.0,19.0,5.0,18.0,12.0,9.0,berlin,O
Infratestdimap,2020-04-29,4,2020,23.0,20.0,21.0,5.0,14.0,10.0,7.0,berlin,T
Forsa,2020-02-11,2,2020,16.0,15.0,25.0,6.0,17.0,11.0,10.0,berlin,T
INSA,2020-01-02,1,2020,18.0,15.0,23.0,7.0,19.0,13.0,5.0,berlin,O
