institute,client,date,CDU,SPD,GRÜNE,FDP,LINKE,AfD,Sonstige,state,CSU,FW,PIRATEN,NPD,SSW,method,timeframe
Infratestdimap,SWR,21.04.2022,26.0,15.0,28.0,11.0,3.0,9.0,8.0,baden-wuerttemberg,,,,,,TOM,1.17012.04.–19.04.
INSA,BILD,06.04.2022,23.0,19.0,25.0,11.0,3.0,10.0,9.0,baden-wuerttemberg,,,,,,O,1.00028.03.–04.04.
Infratestdimap,"SWR,Stuttgarter Zeitung",10.03.2022,24.0,18.0,27.0,13.0,3.0,9.0,6.0,baden-wuerttemberg,,,,,,TOM,1.15204.03.–08.03.
Infratestdimap,"SWR,Stuttgarter Zeitung",20.01.2022,23.0,16.0,26.0,12.0,4.0,11.0,8.0,baden-wuerttemberg,,,,,,TOM,1.16613.01.–18.01.
INSA,BILD,12.10.2021,20.0,21.0,24.0,16.0,3.0,9.0,7.0,baden-wuerttemberg,,,,,,O,1.00004.10.–11.10.
INSA,BILD,12.03.2021,23.0,11.0,32.0,11.0,4.0,13.0,6.0,baden-wuerttemberg,,,,,,TOM,1.06611.03.–12.03.
ForschungsgruppeWahlen,ZDF,11.03.2021,24.0,10.0,34.0,11.0,3.0,11.0,7.0,baden-wuerttemberg,,,,,,T,1.86708.03.–11.03.
ForschungsgruppeWahlen,ZDF,05.03.2021,24.0,10.0,35.0,10.0,3.0,11.0,7.0,baden-wuerttemberg,,,,,,T,1.03201.03.–04.03.
Infratestdimap,ARD,04.03.2021,25.0,10.0,33.0,10.0,4.0,12.0,6.0,baden-wuerttemberg,,,,,,TOM,1.18501.03.–03.03.
ForschungsgruppeWahlen,ZDF,05.02.2021,28.0,10.0,34.0,9.0,3.0,11.0,5.0,baden-wuerttemberg,,,,,,T,1.03201.02.–04.02.
Infratestdimap,"SWR,Stuttgarter Zeitung",04.02.2021,27.0,11.0,34.0,9.0,3.0,10.0,6.0,baden-wuerttemberg,,,,,,T,1.00001.02.–02.02.
INSA,BILD,13.01.2021,30.0,12.0,30.0,8.0,4.0,12.0,4.0,baden-wuerttemberg,,,,,,O,1.01005.01.–11.01.
Infratestdimap,SWR,17.12.2020,30.0,10.0,35.0,7.0,3.0,11.0,4.0,baden-wuerttemberg,,,,,,T,1.00114.12.–16.12.
INSA,BILD,19.11.2020,31.0,11.0,29.0,7.0,5.0,12.0,5.0,baden-wuerttemberg,,,,,,O,1.00110.11.–16.11.
Infratestdimap,"SWR,Stuttgarter Zeitung",15.10.2020,29.0,11.0,34.0,6.0,4.0,11.0,5.0,baden-wuerttemberg,,,,,,T,1.00108.10.–13.10.
INSA,BILD,10.09.2020,31.0,12.0,28.0,7.0,5.0,12.0,5.0,baden-wuerttemberg,,,,,,O,1.00002.09.–07.09.
Infratestdimap,SWR,30.04.2020,30.0,11.0,34.0,6.0,3.0,12.0,4.0,baden-wuerttemberg,,,,,,T,1.00327.04.–28.04.
INSA,BILD,22.04.2020,31.0,13.0,29.0,7.0,4.0,11.0,5.0,baden-wuerttemberg,,,,,,TOM,1.52315.04.–20.04.
Infratestdimap,"SWR,Stuttgarter Zeitung",12.03.2020,23.0,11.0,36.0,7.0,5.0,14.0,4.0,baden-wuerttemberg,,,,,,T,1.00105.03.–10.03.
INSA,BILD,30.10.2019,27.0,11.0,30.0,9.0,4.0,13.0,6.0,baden-wuerttemberg,,,,,,O,1.03623.10.–28.10.
