Player,FGM,Att,FG_Mis,FG Blk,FG%,Lng,1-19 > A-M %,20-29 > A-M %,30-39 > A-M %,40-49 > A-M %,50-59 > A-M %,60+ > A-M %
Adam Vinatieri,23,27,4,0,85.18518518518519,54,0.0,100.0,85.71428571428571,83.33333333333334,66.66666666666666,0.0
Aldrick Rosas,32,33,1,0,96.96969696969697,57,0.0,100.0,100.0,100.0,80.0,0.0
Anders Carlson,27,33,6,0,81.81818181818183,53,0.0,100.0,100.0,50.0,75.0,0.0
Austin Seibert,25,29,4,0,86.20689655172413,53,0.0,100.0,100.0,75.0,50.0,0.0
Blake Grupe,30,37,7,0,81.08108108108108,55,0.0,83.33333333333334,100.0,80.0,66.66666666666666,0.0
Brandon Aubrey,36,38,2,1,94.73684210526315,60,0.0,100.0,86.66666666666667,100.0,100.0,100.0
Brandon McManus,161,197,36,6,81.7258883248731,61,0.0,95.53571428571428,91.1111111111111,94.65811965811967,58.27505827505828,16.666666666666668
Brett Maher,78,98,20,2,79.59183673469387,63,0.0,100.0,83.33333333333333,56.45021645021645,65.55555555555556,100.0
Cade York,24,32,8,3,75.0,58,0.0,100.0,75.0,75.0,66.66666666666666,0.0
Cairo Santos,91,100,9,1,91.0,55,0.0,100.0,100.0,84.87179487179488,51.388888888888886,0.0
Cameron Dicker,31,33,2,1,93.93939393939394,55,0.0,100.0,100.0,100.0,77.77777777777779,0.0
Chase McLaughlin,59,67,8,3,88.05970149253731,57,0.0,100.0,91.66666666666667,74.24242424242425,81.25,0.0
Chris Boswell,113,122,9,0,92.62295081967213,59,25.0,100.0,97.22222222222223,87.40384615384616,84.72222222222223,0.0
Cody Parkey,42,52,10,1,80.76923076923077,50,0.0,100.0,68.33333333333333,82.95454545454545,25.0,0.0
Dan Bailey,48,57,9,1,84.21052631578947,52,0.0,91.66666666666667,100.0,57.93650793650794,75.0,0.0
Daniel Carlson,133,145,12,2,91.72413793103448,57,0.0,97.72727272727272,96.42857142857143,79.32692307692308,75.91575091575092,0.0
Dustin Hopkins,141,163,22,1,86.50306748466258,58,20.0,97.5,95.27777777777779,81.91682826976945,71.33333333333333,0.0
Eddy Pineiro,81,92,11,0,88.04347826086956,56,33.333333333333336,100.0,94.70588235294117,71.16402116402116,90.47619047619048,0.0
Evan McPherson,78,93,15,0,83.87096774193549,59,33.333333333333336,94.44444444444446,100.0,78.63247863247862,80.05050505050505,0.0
Graham Gano,89,97,8,1,91.75257731958763,57,0.0,100.0,94.1025641025641,96.96969696969695,80.74074074074075,0.0
Greg Joseph,83,101,18,3,82.17821782178217,61,33.333333333333336,100.0,97.22222222222221,71.75925925925925,56.08465608465608,33.333333333333336
Greg Zuerlein,179,215,36,2,83.25581395348837,60,16.666666666666668,100.0,95.20833333333333,76.14700114700115,59.82142857142858,16.666666666666668
Harrison Butker,141,155,14,1,90.96774193548387,60,20.0,100.0,95.33333333333334,85.14285714285714,75.55555555555556,20.0
Jake Elliott,108,122,14,1,88.52459016393442,61,0.0,100.0,94.60227272727272,83.96291208791209,68.92857142857143,25.0
Jason Myers,149,167,18,0,89.22155688622755,61,0.0,100.0,95.6547619047619,80.08658008658008,77.14285714285714,20.0
Jason Sanders,126,152,26,4,82.89473684210526,56,20.0,96.66666666666667,93.33333333333334,78.27106227106228,63.11111111111111,0.0
Joey Slye,102,123,21,3,82.92682926829268,58,25.0,92.91666666666666,95.0,77.91396103896105,67.91666666666666,0.0
Josh Lambo,52,55,3,0,94.54545454545455,57,0.0,100.0,100.0,81.94444444444444,90.0,0.0
Justin Tucker,193,214,21,6,90.18691588785047,66,0.0,100.0,97.6190476190476,88.510101010101,76.3888888888889,16.666666666666668
Ka'imi Fairbairn,140,157,17,0,89.171974522293,56,20.0,100.0,97.5,82.33333333333333,73.33333333333333,0.0
Mason Crosby,102,124,22,3,82.25806451612904,56,25.0,100.0,90.03496503496504,74.13690476190476,55.35714285714286,0.0
Matt Bryant,20,21,1,0,95.23809523809523,57,0.0,100.0,100.0,100.0,80.0,0.0
Matt Gay,120,140,20,2,85.71428571428571,58,0.0,100.0,90.35714285714286,85.9623015873016,74.16666666666666,0.0
Matt Prater,133,161,28,1,82.6086956521739,62,0.0,100.0,87.1969696969697,68.19047619047619,73.18831168831169,26.666666666666664
Matthew Wright,21,24,3,0,87.5,56,0.0,100.0,100.0,75.0,66.66666666666666,0.0
Mike Badgley,48,61,13,1,78.68852459016394,53,0.0,92.85714285714286,100.0,71.67832167832168,49.99999999999999,0.0
Nick Folk,123,134,11,0,91.7910447761194,54,25.0,100.0,100.0,90.77380952380952,73.125,0.0
Randy Bullock,93,111,18,2,83.78378378378379,57,0.0,100.0,91.875,83.09294871794872,58.33333333333333,0.0
Riley Patterson,30,35,5,0,85.71428571428571,53,0.0,100.0,90.9090909090909,76.92307692307693,66.66666666666666,0.0
Robbie Gould,122,143,21,4,85.3146853146853,53,0.0,98.57142857142858,92.66666666666667,79.28282828282828,65.0,0.0
